category,pokemon_name,count,description
OVERLAPPING,numel,1.0,Has both stats and images
OVERLAPPING,nuzleaf,1.0,Has both stats and images
OVERLAPPING,octillery,1.0,Has both stats and images
OVERLAPPING,oddish,1.0,Has both stats and images
OVERLAPPING,omanyte,1.0,Has both stats and images
OVERLAPPING,omastar,1.0,Has both stats and images
OVERLAPPING,onix,1.0,Has both stats and images
OVERLAPPING,oranguru,1.0,Has both stats and images
OVERLAPPING,oricorio,1.0,Has both stats and images
OVERLAPPING,oshawott,1.0,Has both stats and images
OVERLAPPING,pachirisu,1.0,Has both stats and images
OVERLAPPING,palkia,1.0,Has both stats and images
OVERLAPPING,palossand,1.0,Has both stats and images
OVERLAPPING,palpitoad,1.0,Has both stats and images
OVERLAPPING,pancham,1.0,Has both stats and images
OVERLAPPING,pangoro,1.0,Has both stats and images
OVERLAPPING,panpour,1.0,Has both stats and images
OVERLAPPING,pansage,1.0,Has both stats and images
OVERLAPPING,pansear,1.0,Has both stats and images
OVERLAPPING,paras,1.0,Has both stats and images
OVERLAPPING,parasect,1.0,Has both stats and images
OVERLAPPING,passimian,1.0,Has both stats and images
OVERLAPPING,patrat,1.0,Has both stats and images
OVERLAPPING,pawniard,1.0,Has both stats and images
OVERLAPPING,pelipper,1.0,Has both stats and images
OVERLAPPING,persian,1.0,Has both stats and images
OVERLAPPING,petilil,1.0,Has both stats and images
OVERLAPPING,phanpy,1.0,Has both stats and images
OVERLAPPING,phantump,1.0,Has both stats and images
OVERLAPPING,phione,1.0,Has both stats and images
OVERLAPPING,pichu,1.0,Has both stats and images
OVERLAPPING,pidgeot,1.0,Has both stats and images
OVERLAPPING,pidgeotto,1.0,Has both stats and images
OVERLAPPING,pidgey,1.0,Has both stats and images
OVERLAPPING,pidove,1.0,Has both stats and images
OVERLAPPING,pignite,1.0,Has both stats and images
OVERLAPPING,pikachu,1.0,Has both stats and images
OVERLAPPING,pikipek,1.0,Has both stats and images
OVERLAPPING,piloswine,1.0,Has both stats and images
OVERLAPPING,pineco,1.0,Has both stats and images
OVERLAPPING,pinsir,1.0,Has both stats and images
OVERLAPPING,piplup,1.0,Has both stats and images
OVERLAPPING,plusle,1.0,Has both stats and images
OVERLAPPING,politoed,1.0,Has both stats and images
OVERLAPPING,poliwag,1.0,Has both stats and images
OVERLAPPING,poliwhirl,1.0,Has both stats and images
OVERLAPPING,poliwrath,1.0,Has both stats and images
